frame,t,x,y,v,a,jerk,jounce
143,4.766666666666667,320.0,323.0,12520.305298367928,329096.4738099753,-2108441.4658885635,-20747368.58329422
144,4.8,501.0,1349.0,9483.147747412217,281915.62728848436,-2099519.308985749,247295.5251266825
145,4.833333333333333,340.0,323.0,6417.6934654101005,189128.51987759207,-2091955.097546785,110305.49975554497
146,4.866666666666666,363.0,334.0,3358.8753912402944,142451.95411869866,-2092165.6090020458,19903536.587847613
147,4.9,364.0,343.0,3382.9289455970256,49650.81261078901,-765052.6583569439,30223618.538571805
148,4.933333333333334,364.0,354.0,366.9139765478995,91448.44356156907,-77257.70643059222,20055443.686687544
149,4.966666666666667,363.0,367.0,3203.582933742925,44500.29884874953,571976.9207555591,20354577.02273453
150,5.0,363.0,382.0,3203.507980559423,129580.23827860637,1279714.0950850432,1144148.567725316
151,5.033333333333333,363.0,386.0,5949.026917311699,129814.5718544191,648253.4919372469,-18879266.830752097
152,5.066666666666666,501.0,1349.0,5957.0005328560355,172797.1377410895,21096.3063682368,-10001154.034759361
153,5.1,363.0,406.0,5972.622843477498,131220.99227896822,-18490.110380043807,-1409536.0916176352
154,5.133333333333333,363.0,420.0,3085.9115495072747,171564.46371575323,-72872.76640627233,8508087.743947262
155,5.166666666666667,373.0,435.0,5780.736589323778,126362.8078518834,548715.7392164402,28303003.145650435
156,5.2,378.0,439.0,5714.493762982847,208145.51299684925,1813994.1099704232,18813376.637865696
157,5.233333333333333,387.0,439.0,8361.970927810966,247295.7485165783,1802940.8484074865,-8793229.936611803
158,5.266666666666667,501.0,1349.0,11030.404800488197,328341.5695573484,1227778.7808629698,-17631180.545095235
159,5.3,501.0,1349.0,13726.2284758817,329147.66724077624,627528.8120678046,-27699807.923520513
160,5.333333333333333,425.0,439.0,11031.403436065197,370176.823695202,-618875.0807050642,-37246594.90132722
161,5.366666666666666,431.0,438.0,11011.859317939246,287889.32852710533,-1855577.5146873433,-18318772.134037547
162,5.4,501.0,1349.0,8326.43825234202,246471.6560493791,-1840126.5563075673,546959.2407852549
163,5.433333333333334,451.0,438.0,5606.595272478923,165214.2247732675,-1819113.5653016597,7255934.239386621
