frame,t_sec,x,y
480,16.0,363,618
481,16.03333333333333,363,623
482,16.066666666666666,363,642
483,16.1,363,652
484,16.133333333333333,358,666
485,16.166666666666668,344,671
486,16.2,501,1349
487,16.233333333333334,324,670
488,16.266666666666666,305,671
489,16.3,301,671
490,16.333333333333332,286,671
491,16.366666666666667,267,671
492,16.4,262,671
493,16.433333333333334,501,1349
494,16.466666666666665,228,670
495,16.5,224,671
496,16.53333333333333,209,671
497,16.566666666666666,190,671
498,16.6,185,671
499,16.633333333333333,501,1349
500,16.666666666666668,150,671
501,16.7,151,671
502,16.733333333333334,501,1349
503,16.766666666666666,112,671
504,16.8,113,671
505,16.833333333333332,501,1349
506,16.866666666666667,78,671
507,16.9,74,671
508,16.933333333333334,501,1349
509,16.966666666666665,40,671
510,17.0,35,671
511,17.03333333333333,30,671
512,17.066666666666666,501,1349
513,17.1,501,1349
514,17.133333333333333,501,1349
515,17.166666666666668,365,829
516,17.2,501,1349
517,17.233333333333334,501,1349
518,17.266666666666666,501,1349
519,17.3,501,1349
520,17.333333333333332,501,1349
521,17.366666666666667,361,892
522,17.4,501,1349
523,17.433333333333334,501,1349
524,17.466666666666665,501,1349
525,17.5,501,1349
526,17.53333333333333,501,1349
527,17.566666666666666,501,1349
528,17.6,1056,671
529,17.633333333333333,1043,671
530,17.666666666666668,501,1349
531,17.7,501,1349
532,17.733333333333334,1004,671
533,17.766666666666666,501,1349
534,17.8,501,1349
535,17.833333333333332,976,671
536,17.866666666666667,957,671
537,17.9,501,1349
538,17.933333333333334,937,670
539,17.966666666666665,917,671
540,18.0,501,1349
541,18.03333333333333,903,671
542,18.066666666666666,884,670
543,18.1,879,671
544,18.133333333333333,860,670
545,18.166666666666668,831,666
546,18.2,826,661
547,18.233333333333334,826,647
548,18.266666666666666,501,1349
549,18.3,826,622
550,18.333333333333332,826,604
551,18.366666666666667,501,1349
552,18.4,826,589
553,18.433333333333334,826,565
554,18.466666666666665,501,1349
555,18.5,827,551
556,18.53333333333333,826,531
557,18.566666666666666,501,1349
558,18.6,501,1349
559,18.633333333333333,826,493
560,18.666666666666668,826,486
561,18.7,501,1349
562,18.733333333333334,826,468
563,18.766666666666666,826,448
564,18.8,501,1349
565,18.833333333333332,826,429
566,18.866666666666667,826,416
567,18.9,501,1349
568,18.933333333333334,826,397
