object_id,frame,t_sec,x,y
ghost_red,58,1.9333333333333333,882,1347
ghost_red,58,1.9333333333333333,460,557
ghost_cyan,58,1.9333333333333333,272,676
ghost_mag,58,1.9333333333333333,69,684
pacman,59,1.9666666666666666,594,1022
ghost_red,59,1.9666666666666666,882,1347
ghost_red,59,1.9666666666666666,479,558
ghost_cyan,59,1.9666666666666666,292,675
ghost_mag,59,1.9666666666666666,62,676
pacman,60,2.0,590,1021
ghost_red,60,2.0,882,1347
ghost_red,60,2.0,483,559
ghost_cyan,60,2.0,297,675
ghost_mag,60,2.0,62,676
pacman,61,2.033333333333333,575,1023
ghost_red,61,2.033333333333333,882,1347
ghost_red,61,2.033333333333333,494,560
ghost_cyan,61,2.033333333333333,306,676
ghost_mag,61,2.033333333333333,52,676
pacman,62,2.066666666666667,884,439
ghost_red,62,2.066666666666667,882,1347
ghost_red,62,2.066666666666667,515,560
ghost_cyan,62,2.066666666666667,326,675
ghost_mag,62,2.066666666666667,46,682
pacman,63,2.1,552,1023
ghost_red,63,2.1,882,1347
ghost_red,63,2.1,518,560
ghost_cyan,63,2.1,330,676
ghost_mag,63,2.1,42,683
pacman,64,2.1333333333333333,542,1022
ghost_red,64,2.1333333333333333,882,1347
ghost_red,64,2.1333333333333333,531,570
ghost_cyan,64,2.1333333333333333,341,675
ghost_mag,64,2.1333333333333333,38,682
pacman,65,2.1666666666666665,850,439
ghost_red,65,2.1666666666666665,882,1346
ghost_red,65,2.1666666666666665,546,560
ghost_cyan,65,2.1666666666666665,361,675
ghost_mag,65,2.1666666666666665,29,678
pacman,66,2.2,517,1023
ghost_red,66,2.2,882,1347
ghost_red,66,2.2,568,562
ghost_cyan,66,2.2,366,675
ghost_mag,66,2.2,24,678
pacman,67,2.2333333333333334,508,1022
ghost_red,67,2.2333333333333334,881,1347
ghost_red,67,2.2333333333333334,578,559
ghost_cyan,67,2.2333333333333334,366,685
ghost_mag,67,2.2333333333333334,24,685
pacman,68,2.2666666666666666,490,1022
ghost_red,68,2.2666666666666666,881,1347
ghost_red,68,2.2666666666666666,581,563
ghost_cyan,68,2.2666666666666666,366,704
ghost_mag,68,2.2666666666666666,16,683
pacman,69,2.3,484,1023
ghost_red,69,2.3,881,1347
ghost_red,69,2.3,585,562
ghost_cyan,69,2.3,366,709
ghost_mag,69,2.3,14,677
pacman,70,2.3333333333333335,474,1023
ghost_red,70,2.3333333333333335,881,1347
ghost_red,70,2.3333333333333335,597,565
ghost_cyan,70,2.3333333333333335,366,723
pacman,71,2.3666666666666667,455,1023
ghost_red,71,2.3666666666666667,881,1347
ghost_red,71,2.3666666666666667,614,564
ghost_cyan,71,2.3666666666666667,366,738
pacman,72,2.4,450,1022
ghost_red,72,2.4,881,1347
ghost_red,72,2.4,619,561
ghost_cyan,72,2.4,366,742
pacman,73,2.433333333333333,441,1022
ghost_red,73,2.433333333333333,881,1347
ghost_red,73,2.433333333333333,632,562
ghost_cyan,73,2.433333333333333,366,756
pacman,74,2.466666666666667,421,1022
ghost_red,74,2.466666666666667,881,1347
ghost_red,74,2.466666666666667,650,562
ghost_cyan,74,2.466666666666667,364,771
pacman,75,2.5,417,1022
ghost_red,75,2.5,881,1347
ghost_red,75,2.5,666,565
ghost_cyan,75,2.5,364,777
pacman,76,2.533333333333333,407,1022
ghost_red,76,2.533333333333333,881,1347
ghost_red,76,2.533333333333333,682,564
ghost_cyan,76,2.533333333333333,364,791
pacman,77,2.566666666666667,387,1023
ghost_red,77,2.566666666666667,881,1347
ghost_red,77,2.566666666666667,685,558
ghost_cyan,77,2.566666666666667,378,791
pacman,78,2.6,382,1023
ghost_red,78,2.6,881,1347
ghost_red,78,2.6,693,558
ghost_cyan,78,2.6,388,791
pacman,79,2.6333333333333333,369,1023
ghost_red,79,2.6333333333333333,881,1347
ghost_red,79,2.6333333333333333,703,558
ghost_cyan,79,2.6333333333333333,398,791
pacman,80,2.6666666666666665,354,1023
ghost_red,80,2.6666666666666665,881,1347
ghost_red,80,2.6666666666666665,703,565
ghost_cyan,80,2.6666666666666665,417,791
pacman,81,2.7,349,1022
ghost_red,81,2.7,881,1347
ghost_red,81,2.7,704,565
ghost_cyan,81,2.7,422,791
pacman,82,2.7333333333333334,335,1022
ghost_red,82,2.7333333333333334,881,1347
ghost_red,82,2.7333333333333334,706,570
ghost_cyan,82,2.7333333333333334,431,791
pacman,83,2.7666666666666666,826,410
ghost_red,83,2.7666666666666666,881,1347
ghost_red,83,2.7666666666666666,713,587
ghost_cyan,83,2.7666666666666666,451,791
pacman,84,2.8,316,1022
ghost_red,84,2.8,881,1347
ghost_red,84,2.8,976,1355
ghost_cyan,84,2.8,455,791
pacman,85,2.8333333333333335,300,1022
ghost_red,85,2.8333333333333335,881,1347
ghost_red,85,2.8333333333333335,724,630
ghost_cyan,85,2.8333333333333335,465,791
pacman,86,2.8666666666666667,287,1022
ghost_red,86,2.8666666666666667,881,1347
ghost_red,86,2.8666666666666667,713,651
ghost_cyan,86,2.8666666666666667,485,791
ghost_mag,86,2.8666666666666667,1057,672
pacman,87,2.9,273,1022
ghost_red,87,2.9,881,1347
ghost_red,87,2.9,976,1355
ghost_cyan,87,2.9,489,791
ghost_mag,87,2.9,1057,672
pacman,88,2.933333333333333,267,1022
ghost_red,88,2.933333333333333,881,1347
ghost_red,88,2.933333333333333,703,646
ghost_cyan,88,2.933333333333333,499,791
ghost_mag,88,2.933333333333333,1055,680
pacman,89,2.966666666666667,250,1021
ghost_red,89,2.966666666666667,881,1347
ghost_red,89,2.966666666666667,704,665
ghost_cyan,89,2.966666666666667,518,791
ghost_mag,89,2.966666666666667,1050,680
pacman,90,3.0,249,1031
ghost_red,90,3.0,881,1347
ghost_red,90,3.0,712,674
ghost_cyan,90,3.0,523,791
ghost_mag,90,3.0,1044,683
pacman,91,3.033333333333333,249,1041
ghost_red,91,3.033333333333333,881,1347
ghost_red,91,3.033333333333333,709,684
ghost_cyan,91,3.033333333333333,533,791
ghost_mag,91,3.033333333333333,1038,678
pacman,92,3.066666666666667,249,1060
ghost_red,92,3.066666666666667,881,1347
ghost_red,92,3.066666666666667,733,673
ghost_cyan,92,3.066666666666667,552,791
ghost_mag,92,3.066666666666667,1030,683
pacman,93,3.1,249,1065
ghost_red,93,3.1,881,1347
ghost_red,93,3.1,735,681
ghost_cyan,93,3.1,557,791
ghost_mag,93,3.1,1023,678
pacman,94,3.1333333333333333,249,1074
ghost_red,94,3.1333333333333333,881,1347
ghost_red,94,3.1333333333333333,976,1355
ghost_cyan,94,3.1333333333333333,571,791
ghost_mag,94,3.1333333333333333,1018,678
pacman,95,3.1666666666666665,247,1094
ghost_red,95,3.1666666666666665,881,1347
ghost_red,95,3.1666666666666665,772,672
ghost_cyan,95,3.1666666666666665,586,791
ghost_mag,95,3.1666666666666665,1007,679
pacman,96,3.2,249,1098
ghost_red,96,3.2,881,1347
ghost_red,96,3.2,783,668
ghost_cyan,96,3.2,591,791
ghost_mag,96,3.2,1007,679
pacman,97,3.2333333333333334,251,1109
ghost_red,97,3.2333333333333334,881,1347
ghost_red,97,3.2333333333333334,792,663
ghost_cyan,97,3.2333333333333334,605,791
ghost_mag,97,3.2333333333333334,998,677
pacman,98,3.2666666666666666,252,1133
ghost_red,98,3.2666666666666666,881,1347
ghost_red,98,3.2666666666666666,806,677
ghost_cyan,98,3.2666666666666666,624,791
ghost_mag,98,3.2666666666666666,989,677
pacman,99,3.3,252,1138
ghost_red,99,3.3,881,1347
ghost_red,99,3.3,823,679
ghost_cyan,99,3.3,634,791
ghost_mag,99,3.3,983,679
pacman,100,3.3333333333333335,696,324
ghost_red,100,3.3333333333333335,881,1347
ghost_red,100,3.3333333333333335,827,675
ghost_cyan,100,3.3333333333333335,644,791
ghost_mag,100,3.3333333333333335,979,684
pacman,101,3.3666666666666667,224,1139
ghost_red,101,3.3666666666666667,881,1347
ghost_red,101,3.3666666666666667,828,656
ghost_cyan,101,3.3666666666666667,663,791
ghost_mag,101,3.3666666666666667,967,684
pacman,102,3.4,219,1139
ghost_red,102,3.4,881,1347
ghost_red,102,3.4,828,653
ghost_cyan,102,3.4,668,791
ghost_mag,102,3.4,961,684
pacman,103,3.433333333333333,204,1139
ghost_red,103,3.433333333333333,881,1347
ghost_red,103,3.433333333333333,827,640
ghost_cyan,103,3.433333333333333,677,791
ghost_mag,103,3.433333333333333,955,684
pacman,104,3.466666666666667,189,1138
ghost_red,104,3.466666666666667,881,1347
ghost_red,104,3.466666666666667,827,621
ghost_cyan,104,3.466666666666667,698,790
ghost_mag,104,3.466666666666667,949,680
pacman,105,3.5,185,1138
ghost_red,105,3.5,881,1347
ghost_red,105,3.5,828,617
ghost_cyan,105,3.5,703,790
ghost_mag,105,3.5,949,680
pacman,106,3.533333333333333,171,1138
ghost_red,106,3.533333333333333,881,1347
ghost_red,106,3.533333333333333,819,606
ghost_cyan,106,3.533333333333333,712,790
ghost_mag,106,3.533333333333333,939,684
pacman,107,3.566666666666667,156,1138
ghost_red,107,3.566666666666667,881,1347
ghost_red,107,3.566666666666667,820,582
ghost_cyan,107,3.566666666666667,712,809
ghost_mag,107,3.566666666666667,936,677
pacman,108,3.6,147,1140
ghost_red,108,3.6,881,1347
ghost_red,108,3.6,811,585
ghost_cyan,108,3.6,712,814
ghost_mag,108,3.6,930,684
pacman,109,3.6333333333333333,137,1138
ghost_red,109,3.6333333333333333,881,1347
ghost_red,109,3.6333333333333333,976,1355
ghost_cyan,109,3.6333333333333333,712,824
ghost_mag,109,3.6333333333333333,926,683
pacman,110,3.6666666666666665,117,1140
ghost_red,110,3.6666666666666665,881,1347
ghost_red,110,3.6666666666666665,822,545
ghost_cyan,110,3.6666666666666665,712,843
ghost_mag,110,3.6666666666666665,916,677
pacman,111,3.7,113,1139
ghost_red,111,3.7,881,1347
ghost_red,111,3.7,827,540
ghost_cyan,111,3.7,712,848
ghost_mag,111,3.7,913,676
pacman,112,3.7333333333333334,103,1138
ghost_red,112,3.7333333333333334,881,1347
ghost_red,112,3.7333333333333334,826,522
ghost_cyan,112,3.7333333333333334,712,863
ghost_mag,112,3.7333333333333334,907,676
pacman,113,3.7666666666666666,81,1137
ghost_red,113,3.7666666666666666,881,1347
ghost_red,113,3.7666666666666666,827,511
ghost_cyan,113,3.7666666666666666,711,878
ghost_mag,113,3.7666666666666666,895,685
pacman,114,3.8,75,1137
ghost_red,114,3.8,881,1347
ghost_red,114,3.8,976,1355
ghost_cyan,114,3.8,710,882
ghost_mag,114,3.8,887,685
pacman,115,3.8333333333333335,66,1137
ghost_red,115,3.8333333333333335,881,1347
ghost_red,115,3.8333333333333335,976,1355
ghost_cyan,115,3.8333333333333335,711,897
ghost_mag,115,3.8333333333333335,882,686
pacman,116,3.8666666666666667,498,324
ghost_red,116,3.8666666666666667,881,1347
ghost_red,116,3.8666666666666667,976,1355
ghost_cyan,116,3.8666666666666667,716,906
ghost_mag,116,3.8666666666666667,864,685
pacman,117,3.9,55,1151
ghost_red,117,3.9,881,1347
ghost_red,117,3.9,826,467
ghost_cyan,117,3.9,721,906
ghost_mag,117,3.9,858,686
pacman,118,3.933333333333333,57,1161
ghost_red,118,3.933333333333333,881,1347
ghost_red,118,3.933333333333333,976,1355
ghost_cyan,118,3.933333333333333,735,906
ghost_mag,118,3.933333333333333,852,685
pacman,119,3.966666666666667,56,1180
ghost_red,119,3.966666666666667,881,1347
ghost_red,119,3.966666666666667,815,457
ghost_cyan,119,3.966666666666667,750,906
ghost_mag,119,3.966666666666667,832,678
pacman,120,4.0,57,1185
ghost_red,120,4.0,881,1347
ghost_red,120,4.0,826,446
ghost_cyan,120,4.0,760,906
ghost_mag,120,4.0,827,685
pacman,121,4.033333333333333,57,1194
ghost_red,121,4.033333333333333,881,1347
ghost_red,121,4.033333333333333,817,436
ghost_cyan,121,4.033333333333333,769,906
ghost_mag,121,4.033333333333333,816,684
pacman,122,4.066666666666666,57,1214
ghost_red,122,4.066666666666666,881,1347
ghost_red,122,4.066666666666666,821,419
ghost_cyan,122,4.066666666666666,783,906
ghost_mag,122,4.066666666666666,797,685
pacman,123,4.1,57,1218
ghost_red,123,4.1,881,1347
ghost_red,123,4.1,817,413
ghost_cyan,123,4.1,793,906
ghost_mag,123,4.1,790,685
pacman,124,4.133333333333334,421,324
ghost_red,124,4.133333333333334,881,1347
ghost_red,124,4.133333333333334,825,393
ghost_cyan,124,4.133333333333334,804,906
ghost_mag,124,4.133333333333334,778,686
pacman,125,4.166666666666667,54,1248
ghost_red,125,4.166666666666667,881,1347
ghost_red,125,4.166666666666667,828,379
ghost_cyan,125,4.166666666666667,824,906
ghost_mag,125,4.166666666666667,763,679
pacman,126,4.2,54,1253
ghost_red,126,4.2,881,1347
ghost_red,126,4.2,831,372
ghost_cyan,126,4.2,828,906
ghost_mag,126,4.2,760,685
pacman,127,4.233333333333333,387,324
ghost_red,127,4.233333333333333,881,1347
ghost_red,127,4.233333333333333,823,363
ghost_cyan,127,4.233333333333333,828,916
ghost_mag,127,4.233333333333333,747,685
pacman,128,4.266666666666667,83,1253
ghost_red,128,4.266666666666667,881,1347
ghost_red,128,4.266666666666667,821,341
ghost_cyan,128,4.266666666666667,828,935
ghost_mag,128,4.266666666666667,734,684
pacman,129,4.3,88,1253
ghost_red,129,4.3,881,1347
ghost_red,129,4.3,821,337
ghost_cyan,129,4.3,828,940
ghost_mag,129,4.3,727,684
pacman,130,4.333333333333333,102,1253
ghost_red,130,4.333333333333333,881,1347
ghost_red,130,4.333333333333333,824,323
ghost_cyan,130,4.333333333333333,828,949
ghost_mag,130,4.333333333333333,711,684
pacman,131,4.366666666666666,343,324
ghost_red,131,4.366666666666666,881,1347
ghost_red,131,4.366666666666666,826,305
ghost_cyan,131,4.366666666666666,828,969
ghost_mag,131,4.366666666666666,713,669
pacman,132,4.4,126,1253
ghost_red,132,4.4,881,1347
ghost_red,132,4.4,825,299
ghost_cyan,132,4.4,828,973
ghost_mag,132,4.4,711,660
pacman,133,4.433333333333334,136,1253
ghost_red,133,4.433333333333334,881,1347
ghost_red,133,4.433333333333334,825,296
ghost_cyan,133,4.433333333333334,828,983
ghost_mag,133,4.433333333333334,710,650
pacman,134,4.466666666666667,310,324
ghost_red,134,4.466666666666667,881,1347
ghost_red,134,4.466666666666667,826,265
ghost_cyan,134,4.466666666666667,829,1002
ghost_mag,134,4.466666666666667,712,631
pacman,135,4.5,305,324
ghost_red,135,4.5,881,1347
ghost_red,135,4.5,823,276
ghost_cyan,135,4.5,828,1007
ghost_mag,135,4.5,710,625
pacman,136,4.533333333333333,169,1253
